Codigo,Codigo/Empresa
SBFG3,SBFG3 - Grupo SBF
PRVA3,PRVA3 - Privalia
WALM34,WALM34 - Walmart
SMTO3,SMTO3 - Starbucks
MDIA3,MDIA3 - Procter Gamble
PEPB34,PEPB34 - Pepsico Inc
COLG34,COLG34 - Colgate
COCA34,COCA34 - Coca-Cola
AVON34,AVON34 - Avon
SMTO3,SMTO3 - São Martinho
MDIA3,MDIA3 - MDiasBranco
CAML3,CAML3 - CAMIL
AGRO3,AGRO3 - Brasilagro
BEEF3,BEEF3 - Minerva
BEEF11,BEEF11 - Minerva
VIVA3,VIVA3 - Vivara
CRFB3,CRFB3 - Carrefour
PCAR4,PCAR4 - Pão de Açúcar
PCAR3,PCAR3 - Pão de Açúcar
NTCO3,NTCO3 - Natura
MRFG3,MRFG3 - Marfrig
JBSS3,JBSS3 - JBS
PGCO34,PGCO34 - Proctor Gamble
BRFS3,BRFS3 - BRF
NDIV11,NDIV11 - Nu Renda Ibov Smart Dividendos (NDIV11)
CSUD3,CSUD3 - CSU Digital
INBR31,INBR31 - Banco Inter
BIDI3,BIDI3 - Banco Inter
BIDI11,BIDI11 - Banco Inter
BIDI4,BIDI4 - Banco Inter
STOC31,STOC31 - STONE CO
NUBR33,NUBR33 - Nu Holdings
IGTI11,IGTI11 - Iguatemi S.A.
IGTI3,IGTI3 - Iguatemi S.A.
XPBR31,XPBR31 - XP Inc
TRAD3,TRAD3 - TradersClub
BSLI4,BSLI4 - BRB Banco
BSLI3,BSLI3 - BRB Banco
BTTL3,BTTL3 - Battistella
BPAR3,BPAR3 - Banpara
WFCO34,WFCO34 - Wells Fargo
VISA34,VISA34 - Visa
MSBR34,MSBR34 - Morgan Stanley
MSCD34,MSCD34 - Mastercard
JPMC34,JPMC34 - JPMorgan
HONB34,HONB34 - Honeywell
GEOO34,GEOO34 - GE
GSGI34,GSGI34 - Goldman Sachs
CTGP34,CTGP34 - Citigroup
BOAC34,BOAC34 - Bank America
ITUB4,ITUB4 - 3M
SCAR3,SCAR3 - Sao Carlos
LPSB3,LPSB3 - LPS Brasil
BMGB11,BMGB11 - BMG
BMGB4,BMGB4 - BMG
IGBR3,IGBR3 - Gradiente
GSHP3,GSHP3 - General Shopping
PSSA3,PSSA3 - Porto Seguro
CARD3,CARD3 - CSU CardSyst
BBRK3,BBRK3 - Brasil Brokers
BRPR3,BRPR3 - BR Properties
BRSR6,BRSR6 - Banrisul
BRSR5,BRSR5 - Banrisul
BRSR3,BRSR3 - Banrisul
SANB4,SANB4 - Santander BR
SANB3,SANB3 - Santander BR
SANB11,SANB11 - Santander BR
MULT3,MULT3 - Multiplan
ITUB4,ITUB4 - Itaú Unibanco
ITUB3,ITUB3 - Itaú Unibanco
ALSO3,ALSO3 - Aliansce Sonae
BMIN3,BMIN3 - Banco Mercantil de Investimentos
MERC4,MERC4 - Mercantil do Brasil Financeira
LOGG3,LOGG3 - Log
ITSA4,ITSA4 - Itaúsa
IRBR3,IRBR3 - IRB Brasil RE
PDTC3,PDTC3 - Padtec
SYNE3,SYNE3 - SYN Prop Tech
BBDC4,BBDC4 - Bradesco
BBDC3,BBDC3 - Bradesco
BRML3,BRML3 - brMalls
APER3,APER3 - Alper
BBSE3,BBSE3 - BB Seguridade
BPAN4,BPAN4 - Banco Pan
BBAS3,BBAS3 - Banco do Brasil
BBAS12,BBAS12 - Banco do Brasil
BBAS11,BBAS11 - Banco do Brasil
AXPB34,AXPB34 - American Express
LAND3,LAND3 - Terra Santa Agro SA
DEXP4,DEXP4 - Dexxos Part
