Codigo,Codigo/Empresa
CSMG3,CSMG3 - Copasa MG
GGBR4,GGBR4 - Gerdau S.A.
BBSE3,BBSE3 - BB Seguridade Participações S.A.
TIMS3,TIMS3 - TIM S.A.
VALE3,VALE3 - Vale S.A.
AURE3,AURE3 - Auren Energia S.A.
CXSE3,CXSE3 - Caixa Seguridade Participações S.A.
BBDC4,BBDC4 - Banco Bradesco S.A.
CMIN3,CMIN3 - CSN Mineração S.A.
BBAS3,BBAS3 - Banco do Brasil S.A.
CMIG4,CMIG4 - Cemig S.A.
